,country,neg_words,pos_words,nb_review
0,American Samoa,2.0,5.0,2
1,Antarctica,2.3,5.0,10
2,Aotearoa,4.0,5.75,4
3,Argentina,4.0,9.0,1
4,Australia,3.723364485981308,7.998130841121496,1070
5,Austria,2.0,6.142857142857143,21
6,Bahamas,2.9,7.4,10
7,Barbados,3.0,14.0,1
8,Belgium,3.64,6.56,50
9,Bermuda,0.0,3.0,1
10,Bhutan,3.25,6.75,4
11,Bolivia,1.6666666666666667,6.166666666666667,6
12,Bouvet Island,0.5,3.5,2
13,Brazil,3.482142857142857,5.839285714285714,56
14,Burkina Faso,3.75,6.125,8
15,Cambodia,3.8,3.4,5
16,Canada,3.755616942909761,7.226151012891345,5430
17,Chile,3.0,8.0,1
18,China,3.4615384615384617,7.512820512820513,39
19,Croatia,2.0,6.0,5
20,Denmark,2.44,2.4,25
21,Dominican Republic,1.0,11.5,2
22,El Salvador,1.0,4.0,1
23,England,3.419491525423729,6.951271186440678,472
24,Fiji Islands,3.2142857142857144,5.142857142857143,14
25,Finland,2.4,6.0,5
26,France,2.90625,5.828125,64
27,Germany,3.6549520766773163,8.031948881789138,313
28,Greece,2.076923076923077,5.769230769230769,13
29,Guam,1.0,5.0,1
30,Hong Kong,2.6666666666666665,7.215686274509804,51
31,Hungary,2.0,6.666666666666667,6
32,Iceland,2.0,6.0,1
33,India,0.5,7.0,2
34,Ireland,2.6666666666666665,8.0,27
35,Israel,2.0,4.0,1
36,Italy,2.8947368421052633,5.421052631578948,19
37,Japan,3.213740458015267,6.900763358778626,131
38,Jersey,1.0,6.5,2
39,Jordan,2.8,8.6,5
40,Lesotho,3.6315789473684212,7.842105263157895,95
41,Malaysia,2.5,4.0,2
42,Mexico,3.04089219330855,7.401486988847584,269
43,Netherlands,4.637323943661972,10.04225352112676,284
44,Northern Ireland,3.8,9.96,50
45,Norway,2.1666666666666665,5.25,12
46,Panama,3.125,5.625,8
47,Peru,1.0,0.0,1
48,Philippines,3.0,6.25,4
49,Poland,2.7796610169491527,6.508474576271187,59
50,Portugal,3.0,6.777777777777778,18
51,Puerto Rico,4.333333333333333,8.333333333333334,15
52,Romania,2.78743961352657,4.405797101449275,207
53,Russia,2.8333333333333335,6.166666666666667,24
54,Scotland,3.3451327433628317,7.469026548672566,113
55,Singapore,1.8709677419354838,4.225806451612903,31
56,Slovak Republic,4.0,3.6666666666666665,3
57,Slovenia,8.9,13.2,10
58,Solomon Islands,1.0,6.0,1
59,South Africa,7.407407407407407,14.444444444444445,27
60,Spain,2.67,4.96,100
61,Svalbard and Jan Mayen Islands,6.0,7.0,1
62,Sweden,3.526923076923077,5.796153846153846,260
63,Switzerland,3.5555555555555554,9.61111111111111,18
64,Taiwan,3.150943396226415,3.811320754716981,53
65,Tajikistan,2.75,6.25,4
66,Thailand,3.893939393939394,11.136363636363637,132
67,Turkey,1.0,2.0,1
68,Ukraine,3.0,6.0,4
69,United Arab Emirates,2.8333333333333335,4.25,12
70,"United States, Alabama",3.3758389261744965,7.649888143176733,894
71,"United States, Alaska",3.4703087885985746,8.619952494061758,421
72,"United States, Arizona",3.4662801342691485,8.340250228867866,3277
73,"United States, Arkansas",2.166416791604198,5.853073463268366,667
74,"United States, California",3.2646919377779784,7.01512654369765,44293
75,"United States, Colorado",3.5184737569060776,7.9756560773480665,5792
76,"United States, Connecticut",3.079073482428115,6.919595314164004,3756
77,"United States, Delaware",3.4,7.224561403508772,570
78,"United States, Florida",3.040986717267552,6.672865275142315,5270
79,"United States, Georgia",3.6210694972962147,7.26957740837172,4993
80,"United States, Hawaii",2.7752808988764044,6.466292134831461,356
81,"United States, Idaho",2.851118760757315,6.314113597246127,1162
82,"United States, Illinois",3.4633157681394406,7.371098500202676,9868
