country,neg_words,pos_words,nb_review
Argentina,0.0,0.75,4
Ascension Island,1.28125,2.96875,32
Australia,2.398009950248756,4.447761194029851,201
Austria,2.6346153846153846,4.230769230769231,52
Bangladesh,1.0,3.0,1
Belarus,1.08,3.2,25
Belgium,2.630827783063749,3.970504281636537,1051
Bermuda,1.0,4.625,8
Bolivia,2.392857142857143,4.803571428571429,56
Bosnia and Herzegovina,1.0,2.3333333333333335,3
Brazil,0.2857142857142857,0.2857142857142857,21
Bulgaria,1.0,2.0,2
Cambodia,3.056603773584906,5.5754716981132075,106
Canada,1.7795380053066958,3.4809583268300295,12814
Chile,2.5,7.0,2
China,0.5,2.0,6
Colombia,2.0,3.0,1
Croatia,1.7121212121212122,2.106060606060606,66
Cyprus,0.8333333333333334,0.8333333333333334,6
Czech Republic,1.4375,2.3125,32
Denmark,1.705692630220932,2.2030317690695047,6201
Dominican Republic,0.0,0.75,4
Ecuador,0.0,5.0,1
Egypt,0.0,2.0,1
El Salvador,0.9047619047619048,1.880952380952381,42
England,2.0427275387767048,3.5879426397424643,3417
Estonia,1.9154929577464788,3.732394366197183,71
Faroe Islands,2.0,3.9833333333333334,60
Finland,1.3402985074626865,2.3064676616915425,1005
France,0.8795180722891566,1.4337349397590362,83
Germany,1.5567715458276334,2.9343365253077973,731
Greece,1.9230769230769231,3.2596153846153846,104
Guam,0.7241379310344828,1.8620689655172413,29
Hong Kong,3.25,7.45,20
Hungary,0.9523809523809523,1.619047619047619,42
Iceland,1.164179104477612,2.1940298507462686,67
India,0.6285714285714286,2.7714285714285714,35
Indonesia,1.0,1.0,1
Ireland,1.5,3.2535211267605635,142
Israel,1.5572815533980582,2.087378640776699,515
Italy,1.5568862275449102,2.712574850299401,167
Japan,1.4660831509846828,3.702407002188184,457
Latvia,1.2666666666666666,2.7666666666666666,30
Lebanon,0.6666666666666666,4.0,3
Luxembourg,2.125,5.28125,32
Malaysia,2.7962962962962963,2.6296296296296298,54
Mexico,1.3333333333333333,2.8095238095238093,105
Moldova,3.0,2.5,6
Monaco,2.0,2.0,1
Mozambique,0.7164179104477612,1.6865671641791045,67
Netherlands,1.816504854368932,2.92621359223301,1030
New Zealand,1.9642857142857142,4.0,28
Northern Ireland,1.2,0.8,5
Norway,1.81125,3.08625,800
Peru,1.0,0.0,1
Poland,1.091324200913242,3.767123287671233,438
Portugal,2.206896551724138,3.6206896551724137,29
Puerto Rico,2.75,6.75,8
Romania,1.9791666666666667,3.4166666666666665,48
Russia,0.0,2.3333333333333335,3
Saudi Arabia,1.2,5.4,5
Scotland,1.4310344827586208,2.7241379310344827,464
Serbia,1.5,3.8333333333333335,6
Singapore,1.64,2.76,25
Slovak Republic,1.7959183673469388,2.979591836734694,49
Slovenia,3.142857142857143,4.142857142857143,7
South Africa,1.25,2.875,8
South Korea,1.2222222222222223,4.555555555555555,9
Spain,0.9471544715447154,2.0040650406504064,246
Sweden,2.116816934535476,2.083496667973344,2551
Switzerland,1.7045454545454546,2.6136363636363638,88
Taiwan,0.6896551724137931,1.4655172413793103,58
Thailand,0.90625,2.3020833333333335,96
Turkey,2.7111111111111112,2.2111111111111112,90
Ukraine,1.0,1.0,1
"United States, Alabama",1.6937669376693767,3.3432700993676603,1107
"United States, Alaska",1.4583333333333333,2.433333333333333,240
"United States, Arizona",1.6592831252517117,3.5610149013290373,2483
"United States, Arkansas",1.5801526717557253,3.877862595419847,131
"United States, California",1.8140575079872205,3.3733759318423857,9390
"United States, Colorado",1.9865433137089992,3.5700168208578638,4756
"United States, Connecticut",1.7883472057074912,3.243757431629013,2523
"United States, Delaware",1.7160883280757098,3.3974763406940065,1585
"United States, Florida",1.9109498680738786,3.5315303430079155,7580
"United States, Georgia",1.7822732727584434,3.5083147608434766,5833
"United States, Hawaii",2.018181818181818,3.381818181818182,55
"United States, Idaho",1.448992443324937,2.93639798488665,1588
"United States, Illinois",2.028464885021753,4.055189558732132,8045
"United States, Indiana",1.8965785381026439,3.224209434940384,3858
"United States, Iowa",1.8846011816838995,3.811669128508124,5416
"United States, Kansas",1.6955848179705655,3.911696359411309,1291
"United States, Kentucky",1.266355140186916,2.554672897196262,4280
"United States, Louisiana",1.9605263157894737,2.8903508771929824,228
"United States, Maine",1.9600665557404326,4.284525790349417,601
"United States, Maryland",1.6932969602494155,3.3156664068589246,5132
"United States, Massachusetts",2.0024637284423763,3.6906652066794416,3653
